U_ID,MOD_ID,GLAC_ID,MOD_H,GLAC_H,DEBRIS,FRAC_GLAC,ICE_DEPTH
3911,91565,250,5961.64,5915.75,0,0.16,5.954416037
3912,91567,259,5755.04,5613,0,0.04,11.13946247
3913,91568,259,5644.96,5561.6,0,0.2,18.25305653
3914,91569,260,5574.72,5614,0,0.28,8.821493626
3915,91570,260,5474.76,5458.29,0,0.68,14.0528176
3916,91571,260,5424.16,5424.16,0,1,25.05553406
3917,91572,260,5386.52,5386.52,0,1,31.54792992
3918,91573,260,5323.08,5354.5,0,0.08,4.385076642
3919,91578,268,5216.92,5204.6,0,0.2,94.48288345
3920,91579,268,5201.72,5201.58,0,0.76,91.61747099
3921,91580,268,5149.24,5149.24,0,1,88.52013092
3922,91581,268,5130.48,5130.48,0,1,112.7594391
3923,91582,268,5158.4,5158.4,0,1,146.4334448
3924,91583,268,5181.6,5181.6,0,1,207.467926
3925,91584,268,5199,5199,0,1,236.4106195
3926,91585,268,5225.64,5225.64,0,1,132.6991385
3927,91586,268,5298.32,5298.32,0,1,64.47790741
3928,91587,268,5410.6,5410.6,0,1,43.14719498
3929,91588,268,5584.48,5584.48,0,1,49.96262543
3930,91589,268,5669.52,5669.52,0,1,80.12187286
3931,91590,268,5719.44,5716,0,0.6,72.37767881
3932,91591,268,5741.16,5740,0,0.04,28.52788544
3933,91824,243,5444.64,5445.26,0,0.92,10.26834262
3934,91825,243,5463.16,5472,0,0.4,12.28175573
3935,91828,248,5232.48,5244.17,0,0.24,10.74563678
3936,91829,248,5265.48,5265.48,0,1,37.11469597
3937,91830,248,5322.12,5322.12,0,1,21.4325185
3938,91831,248,5395.64,5395.64,0,1,21.60167076
3939,91832,248,5454.72,5454.72,0,1,22.66296265
3940,91833,248,5509.52,5509.52,0,1,20.33299618
3941,91834,248,5670.28,5670.28,0,1,15.88661684
3942,91835,259,5876.08,5904.13,0,0.6,23.33231761
3943,91835,248,5876.08,5834,0,0.4,9.148048353
